
[Iter 1 | Rank 9] Shapes: {'images': torch.Size([2, 57, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 5, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 1 | Rank 10] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 19, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 1 | Rank 11] Shapes: {'images': torch.Size([1, 109, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 207, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 1 | Rank 12] Shapes: {'images': torch.Size([2, 65, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 31, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 1 | Rank 13] Shapes: {'images': torch.Size([1, 121, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 126, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 1 | Rank 14] Shapes: {'images': torch.Size([2, 45, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 221, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 1 | Rank 15] Shapes: {'images': torch.Size([1, 125, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 40, 4096]), 'clip_text_embed': torch.Size([1, 768])}

==================== Iteration 2 ====================
[Iter 2 | Rank 0] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 186, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 2 | Rank 1] Shapes: {'images': torch.Size([3, 41, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 50, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 2 | Rank 2] Shapes: {'images': torch.Size([2, 45, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 236, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 2 | Rank 3] Shapes: {'images': torch.Size([1, 121, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 177, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 4] Shapes: {'images': torch.Size([1, 101, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 85, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 5] Shapes: {'images': torch.Size([5, 21, 3, 1280, 720]), 'first_ref_image': torch.Size([5, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([5, 48, 4096]), 'clip_text_embed': torch.Size([5, 768])}
[Iter 2 | Rank 6] Shapes: {'images': torch.Size([1, 81, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 28, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 7] Shapes: {'images': torch.Size([6, 5, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 64, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 2 | Rank 8] Shapes: {'images': torch.Size([6, 17, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 232, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 2 | Rank 9] Shapes: {'images': torch.Size([1, 89, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 184, 4096]), 'clip_text_embed': torch.Size([1, 768])}
