Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
1,VAE,12,5.453688473714826,0.0,5.453688473714826,1_129_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",31.831491976752574
2,VAE,4,5.765662555708762,0.0,5.765662555708762,1_97_1280_720_rank4,"[12, 13, 14, 15]",31.831491976752574
1,DIT,8,22.10546191533579,5.453688473714826,27.559150389050618,1_129_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7]",31.831491976752574
2,DIT,6,17.71503775189312,5.765662555708762,23.480700307601882,1_97_1280_720_rank4,"[8, 9, 10, 11, 12, 13]",31.831491976752574
3,VAE,2,7.311163501069508,5.765662555708762,13.07682605677827,1_73_1280_720_rank6,"[14, 15]",31.831491976752574
0,VAE,1,8.244142791540234,13.07682605677827,21.320968848318504,1_45_1280_720_rank0,[14],31.831491976752574
3,DIT,8,8.350791669150691,23.480700307601882,31.831491976752574,1_73_1280_720_rank6,"[15, 14, 8, 9, 10, 11, 12, 13]",31.831491976752574
0,DIT,8,3.940467378210192,27.559150389050618,31.49961776726081,1_45_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",31.831491976752574
