Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
1,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank2,"[0, 1, 2, 3, 4, 5]",31.235562271582875
3,VAE,4,4.650199571027791,0.0,4.650199571027791,1_77_1280_720_rank6,"[6, 7, 8, 9]",31.235562271582875
1,DIT,8,22.10546191533579,5.02637005289651,27.1318319682323,1_129_1280_720_rank2,"[10, 11, 12, 13, 14, 15, 6, 7]",31.235562271582875
0,VAE,4,4.30903501475843,5.02637005289651,9.33540506765494,1_73_1280_720_rank0,"[8, 9, 0, 1]",31.235562271582875
3,DIT,4,18.739981846011315,5.02637005289651,23.766351898907825,1_77_1280_720_rank6,"[2, 3, 4, 5]",31.235562271582875
0,DIT,4,16.949325537859746,9.33540506765494,26.284730605514685,1_73_1280_720_rank0,"[0, 1, 8, 9]",31.235562271582875
2,VAE,4,2.964627449596637,23.766351898907825,26.730979348504462,1_49_1280_720_rank4,"[2, 3, 4, 5]",31.235562271582875
2,DIT,8,4.504582923078413,26.730979348504462,31.235562271582875,1_49_1280_720_rank4,"[0, 1, 8, 9, 2, 3, 4, 5]",31.235562271582875
