Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
0,VAE,2,7.042767368975541,0.0,7.042767368975541,1_69_1280_720_rank0,"[0, 1]",38.41839841619978
0,DIT,2,31.375631047224235,7.042767368975541,38.41839841619978,1_69_1280_720_rank0,"[0, 1]",38.41839841619978
1,VAE,4,4.739539971765084,0.0,4.739539971765084,2_57_1280_720_rank2,"[2, 3, 4, 5]",38.41839841619978
1,DIT,4,25.11089536945056,4.739539971765084,29.850435341215643,2_57_1280_720_rank2,"[2, 3, 4, 5]",38.41839841619978
2,VAE,6,4.7513737565718,0.0,4.7513737565718,1_117_1280_720_rank4,"[6, 7, 8, 9, 10, 11]",38.41839841619978
2,DIT,6,24.407645543108792,4.7513737565718,29.159019299680594,1_117_1280_720_rank4,"[6, 7, 8, 9, 10, 11]",38.41839841619978
3,VAE,4,3.9354896361287337,0.0,3.9354896361287337,5_25_1280_720_rank6,"[12, 13, 14, 15]",38.41839841619978
3,DIT,4,22.542682567842526,3.9354896361287337,26.47817220397126,5_25_1280_720_rank6,"[12, 13, 14, 15]",38.41839841619978
