Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
2,VAE,4,2.6750228756270813,0.0,2.6750228756270813,1_45_1280_720_rank4,"[0, 1, 2, 3]",14.075409614997687
1,VAE,4,2.6750228756270813,0.0,2.6750228756270813,1_45_1280_720_rank2,"[4, 5, 6, 7]",14.075409614997687
3,VAE,1,8.244142791540234,0.0,8.244142791540234,1_45_1280_720_rank6,[8],14.075409614997687
1,DIT,4,7.459919361160413,2.6750228756270813,10.134942236787495,1_45_1280_720_rank2,"[4, 5, 6, 7]",14.075409614997687
2,DIT,4,7.459919361160413,2.6750228756270813,10.134942236787495,1_45_1280_720_rank4,"[0, 1, 2, 3]",14.075409614997687
0,VAE,6,3.3578390692231697,0.0,3.3578390692231697,1_69_1280_720_rank0,"[9, 10, 11, 12, 13, 14]",14.075409614997687
0,DIT,6,9.935065238871331,3.3578390692231697,13.292904308094501,1_69_1280_720_rank0,"[9, 10, 11, 12, 13, 14]",14.075409614997687
3,DIT,8,3.940467378210192,10.134942236787495,14.075409614997687,1_45_1280_720_rank6,"[8, 15, 0, 1, 2, 3, 4, 5]",14.075409614997687
