Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
7,VAE,2,12.80193843427322,0.0,12.80193843427322,1_129_1280_720_rank7,"[0, 1]",49.23729388356809
1,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank1,"[24, 25, 26, 27, 28, 29]",49.23729388356809
4,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank4,"[2, 3, 4, 5, 6, 7]",49.23729388356809
1,DIT,6,29.349413490625054,5.02637005289651,34.375783543521564,1_129_1280_720_rank1,"[24, 25, 26, 27, 28, 29]",49.23729388356809
4,DIT,6,29.349413490625054,5.02637005289651,34.375783543521564,1_129_1280_720_rank4,"[2, 3, 4, 5, 6, 7]",49.23729388356809
0,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank0,"[8, 9, 10, 11, 12, 13]",49.23729388356809
5,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank5,"[18, 19, 20, 21, 22, 23]",49.23729388356809
2,VAE,2,10.335088497178168,0.0,10.335088497178168,1_105_1280_720_rank2,"[30, 31]",49.23729388356809
0,DIT,8,22.10546191533579,5.02637005289651,27.1318319682323,1_129_1280_720_rank0,"[8, 9, 10, 11, 12, 13, 14, 15]",49.23729388356809
5,DIT,8,22.10546191533579,5.02637005289651,27.1318319682323,1_129_1280_720_rank5,"[16, 17, 18, 19, 20, 21, 22, 23]",49.23729388356809
7,DIT,8,22.10546191533579,27.1318319682323,49.23729388356809,1_129_1280_720_rank7,"[8, 9, 10, 11, 12, 13, 14, 15]",49.23729388356809
6,VAE,4,6.753947541116743,12.80193843427322,19.555885975389963,2_65_1280_720_rank6,"[0, 1, 30, 31]",49.23729388356809
3,VAE,8,4.388493280529186,27.1318319682323,31.520325248761488,2_65_1280_720_rank3,"[16, 17, 18, 19, 20, 21, 22, 23]",49.23729388356809
2,DIT,8,15.337970243974176,31.520325248761488,46.858295492735664,1_105_1280_720_rank2,"[16, 17, 18, 19, 20, 21, 22, 23]",49.23729388356809
3,DIT,8,13.302137117402204,34.375783543521564,47.67792066092377,2_65_1280_720_rank3,"[24, 25, 26, 27, 28, 29, 30, 31]",49.23729388356809
6,DIT,8,13.302137117402204,34.375783543521564,47.67792066092377,2_65_1280_720_rank6,"[0, 1, 2, 3, 4, 5, 6, 7]",49.23729388356809
