Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
2,VAE,24,2.988914783131911,0.0,2.988914783131911,2_73_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",27.559150389050618
5,VAE,8,3.7790267018358223,0.0,3.7790267018358223,2_57_1280_720_rank5,"[24, 25, 26, 27, 28, 29, 30, 31]",27.559150389050618
3,VAE,12,5.453688473714826,0.0,5.453688473714826,1_129_1280_720_rank3,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",27.559150389050618
0,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank0,"[44, 45, 46, 47, 48, 49]",27.559150389050618
3,DIT,8,22.10546191533579,5.453688473714826,27.559150389050618,1_129_1280_720_rank3,"[32, 33, 34, 35, 36, 37, 38, 39]",27.559150389050618
2,DIT,6,22.083429983419002,2.988914783131911,25.072344766550913,2_73_1280_720_rank2,"[0, 1, 2, 3, 4, 5]",27.559150389050618
7,VAE,2,7.715811830429101,0.0,7.715811830429101,1_77_1280_720_rank7,"[50, 51]",27.559150389050618
1,VAE,4,7.600948628291923,0.0,7.600948628291923,1_129_1280_720_rank1,"[52, 53, 54, 55]",27.559150389050618
7,DIT,4,18.739981846011315,7.715811830429101,26.455793676440415,1_77_1280_720_rank7,"[50, 51, 56, 57]",27.559150389050618
6,VAE,6,5.02637005289651,0.0,5.02637005289651,1_129_1280_720_rank6,"[58, 59, 60, 61, 62, 63]",27.559150389050618
6,DIT,8,22.10546191533579,5.02637005289651,27.1318319682323,1_129_1280_720_rank6,"[58, 59, 60, 61, 62, 63, 6, 7]",27.559150389050618
5,DIT,6,14.667401251700408,3.7790267018358223,18.44642795353623,2_57_1280_720_rank5,"[24, 25, 26, 27, 28, 29]",27.559150389050618
4,VAE,8,4.722532868734396,2.988914783131911,7.711447651866306,1_113_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",27.559150389050618
4,DIT,8,17.281770083112455,7.711447651866306,24.993217734978764,1_113_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",27.559150389050618
0,DIT,24,9.098544475319407,7.600948628291923,16.69949310361133,1_129_1280_720_rank0,"[44, 45, 46, 47, 48, 49, 16, 17, 18, 19, 20, 21, 22, 23, 30, 31, 40, 41, 42, 43, 52, 53, 54, 55]",27.559150389050618
1,DIT,24,9.098544475319407,16.69949310361133,25.79803757893074,1_129_1280_720_rank1,"[52, 53, 54, 55, 16, 17, 18, 19, 20, 21, 22, 23, 30, 31, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",27.559150389050618
