Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
1,VAE,4,4.164794713860163,0.0,4.164794713860163,1_69_1280_720_rank2,"[8, 9, 10, 11]",18.275151279572164
0,VAE,6,3.345760035185573,0.0,3.345760035185573,1_73_1280_720_rank0,"[0, 1, 2, 3, 4, 5]",18.275151279572164
3,VAE,4,3.3268322708392426,0.0,3.3268322708392426,1_57_1280_720_rank6,"[12, 13, 14, 15]",18.275151279572164
0,DIT,8,8.350791669150691,3.345760035185573,11.696551704336265,1_73_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",18.275151279572164
1,DIT,8,7.554846419679807,4.164794713860163,11.71964113353997,1_69_1280_720_rank2,"[8, 9, 10, 11, 12, 13, 14, 15]",18.275151279572164
2,VAE,6,2.0740166521574874,11.696551704336265,13.770568356493753,1_49_1280_720_rank4,"[0, 1, 2, 3, 4, 5]",18.275151279572164
3,DIT,8,5.502216698616095,11.71964113353997,17.221857832156065,1_57_1280_720_rank6,"[8, 9, 10, 11, 12, 13, 14, 15]",18.275151279572164
2,DIT,8,4.504582923078411,13.770568356493753,18.275151279572164,1_49_1280_720_rank4,"[0, 1, 2, 3, 4, 5, 6, 7]",18.275151279572164
