Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
0,Model_Execution,2,24.588257463084275,0.0,24.588257463084275,1_53_1280_720_rank0,"[0, 1]",28.285875181122925
1,Model_Execution,8,28.285875181122925,0.0,28.285875181122925,1_129_1280_720_rank2,"[2, 3, 4, 5, 6, 7, 8, 9]",28.285875181122925
2,Model_Execution,2,24.588257463084275,0.0,24.588257463084275,1_53_1280_720_rank4,"[10, 11]",28.285875181122925
3,Model_Execution,4,15.63231330847383,0.0,15.63231330847383,1_61_1280_720_rank6,"[12, 13, 14, 15]",28.285875181122925
