Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
0,VAE,4,4.0762473791328215,0.0,4.0762473791328215,1_65_1280_720_rank0,"[0, 1, 2, 3]",56.079097411192784
0,DIT,4,13.227298250663043,4.0762473791328215,17.303545629795863,1_65_1280_720_rank0,"[0, 1, 2, 3]",56.079097411192784
1,VAE,4,6.180967638332008,0.0,6.180967638332008,1_105_1280_720_rank2,"[4, 5, 6, 7]",56.079097411192784
1,DIT,4,30.761501963322846,6.180967638332008,36.94246960165486,1_105_1280_720_rank2,"[4, 5, 6, 7]",56.079097411192784
2,VAE,4,7.600948628291923,0.0,7.600948628291923,1_129_1280_720_rank4,"[8, 9, 10, 11]",56.079097411192784
2,DIT,4,48.47814878290086,7.600948628291923,56.079097411192784,1_129_1280_720_rank4,"[8, 9, 10, 11]",56.079097411192784
3,VAE,4,4.164794713860163,0.0,4.164794713860163,1_69_1280_720_rank6,"[12, 13, 14, 15]",56.079097411192784
3,DIT,4,16.656757052066975,4.164794713860163,20.82155176592714,1_69_1280_720_rank6,"[12, 13, 14, 15]",56.079097411192784
