Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
2,VAE,6,3.8242182866327012,0.0,3.8242182866327012,2_65_1280_720_rank4,"[0, 1, 2, 3, 4, 5]",25.148442730990503
1,VAE,4,4.739539971765084,0.0,4.739539971765084,2_57_1280_720_rank2,"[8, 9, 10, 11]",25.148442730990503
3,VAE,4,4.344615827773153,0.0,4.344615827773153,4_33_1280_720_rank6,"[12, 13, 14, 15]",25.148442730990503
2,DIT,8,13.302137117402202,3.8242182866327012,17.126355404034904,2_65_1280_720_rank4,"[0, 1, 2, 3, 4, 5, 6, 7]",25.148442730990503
1,DIT,8,10.912364489494461,4.739539971765084,15.651904461259544,2_57_1280_720_rank2,"[8, 9, 10, 11, 12, 13, 14, 15]",25.148442730990503
3,DIT,8,9.496538269730959,15.651904461259544,25.148442730990503,4_33_1280_720_rank6,"[8, 9, 10, 11, 12, 13, 14, 15]",25.148442730990503
0,VAE,4,2.106342328971298,17.126355404034904,19.2326977330062,6_13_1280_720_rank0,"[4, 5, 6, 7]",25.148442730990503
0,DIT,6,5.799984039019716,19.2326977330062,25.032681772025917,6_13_1280_720_rank0,"[0, 1, 2, 3, 4, 5]",25.148442730990503
