Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
0,VAE,6,3.3411474141160955,0.0,3.3411474141160955,2_57_1280_720_rank0,"[0, 1, 2, 3, 4, 5]",22.7461988606983
1,VAE,4,4.344615827773153,0.0,4.344615827773153,4_33_1280_720_rank2,"[8, 9, 10, 11]",22.7461988606983
2,VAE,6,3.8410645688919995,0.0,3.8410645688919995,1_77_1280_720_rank4,"[6, 7, 12, 13, 14, 15]",22.7461988606983
0,DIT,8,10.91236448949446,3.8410645688919995,14.753429058386459,2_57_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",22.7461988606983
1,DIT,8,9.496538269730959,4.344615827773153,13.841154097504113,4_33_1280_720_rank2,"[8, 9, 10, 11, 12, 13, 14, 15]",22.7461988606983
2,DIT,8,8.905044763194187,13.841154097504113,22.7461988606983,1_77_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",22.7461988606983
3,VAE,2,2.829526573918624,14.753429058386459,17.582955632305083,6_13_1280_720_rank6,"[0, 1]",22.7461988606983
3,DIT,8,4.463569950879275,17.582955632305083,22.04652558318436,6_13_1280_720_rank6,"[0, 1, 2, 3, 4, 5, 6, 7]",22.7461988606983
