Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
1,VAE,2,6.626669740952501,0.0,6.626669740952501,2_49_1280_720_rank2,"[0, 1]",21.58930550071804
2,VAE,6,3.3526636311496416,0.0,3.3526636311496416,1_81_1280_720_rank4,"[2, 3, 4, 5, 6, 7]",21.58930550071804
0,VAE,6,2.999765942991592,0.0,2.999765942991592,3_37_1280_720_rank0,"[10, 11, 12, 13, 14, 15]",21.58930550071804
2,DIT,8,9.808125886684838,3.3526636311496416,13.16078951783448,1_81_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",21.58930550071804
3,VAE,6,2.9136502083624185,3.3526636311496416,6.26631383951206,6_17_1280_720_rank6,"[2, 3, 4, 5, 6, 7]",21.58930550071804
1,DIT,8,8.533247419643153,6.626669740952501,15.159917160595654,2_49_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7]",21.58930550071804
0,DIT,8,8.42851598288356,13.16078951783448,21.58930550071804,3_37_1280_720_rank0,"[8, 9, 10, 11, 12, 13, 14, 15]",21.58930550071804
3,DIT,8,6.055752190208519,15.159917160595654,21.215669350804173,6_17_1280_720_rank6,"[0, 1, 2, 3, 4, 5, 6, 7]",21.58930550071804
