Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
2,VAE,4,7.192426888800076,0.0,7.192426888800076,1_121_1280_720_rank4,"[8, 9, 10, 11]",34.322604062246654
1,VAE,2,9.183283959510238,0.0,9.183283959510238,2_65_1280_720_rank2,"[0, 1]",34.322604062246654
2,DIT,8,19.335673790470395,7.192426888800076,26.528100679270473,1_121_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",34.322604062246654
3,VAE,2,6.586735400876969,0.0,6.586735400876969,4_29_1280_720_rank6,"[2, 3]",34.322604062246654
0,VAE,6,3.513599683163366,6.586735400876969,10.100335084040335,1_85_1280_720_rank0,"[2, 3, 4, 5, 6, 7]",34.322604062246654
1,DIT,8,13.3021371174022,10.100335084040335,23.402472201442535,2_65_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7]",34.322604062246654
0,DIT,8,10.838559857685418,23.402472201442535,34.24103205912795,1_85_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",34.322604062246654
3,DIT,8,7.794503382976181,26.528100679270473,34.322604062246654,4_29_1280_720_rank6,"[8, 9, 10, 11, 12, 13, 14, 15]",34.322604062246654
