Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
0,VAE,8,4.58489547210793,0.0,4.58489547210793,1_109_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",29.771311813194373
1,VAE,4,5.501945631275339,0.0,5.501945631275339,1_93_1280_720_rank2,"[12, 13, 14, 15]",29.771311813194373
2,VAE,4,5.141162644331882,0.0,5.141162644331882,2_61_1280_720_rank4,"[8, 9, 10, 11]",29.771311813194373
0,DIT,8,16.05889428658944,4.58489547210793,20.64378975869737,1_109_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",29.771311813194373
1,DIT,8,12.256150672102807,5.501945631275339,17.758096303378146,1_93_1280_720_rank2,"[8, 9, 10, 11, 12, 13, 14, 15]",29.771311813194373
2,DIT,8,12.013215509816227,17.758096303378146,29.771311813194373,2_61_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",29.771311813194373
3,VAE,8,2.7275473972206186,20.64378975869737,23.37133715591799,6_13_1280_720_rank6,"[0, 1, 2, 3, 4, 5, 6, 7]",29.771311813194373
3,DIT,6,5.799984039019716,23.37133715591799,29.171321194937704,6_13_1280_720_rank6,"[0, 1, 2, 3, 4, 5]",29.771311813194373
