Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
3,VAE,4,9.207683220165595,0.0,9.207683220165595,1_129_1280_720_rank3,"[7, 8, 16, 24]",53.90811390453663
1,VAE,8,6.804037274036405,0.0,6.804037274036405,1_129_1280_720_rank1,"[5, 6, 12, 20, 21, 22, 23, 28]",53.90811390453663
6,VAE,4,7.967050602909113,0.0,7.967050602909113,1_129_1280_720_rank6,"[0, 9, 17, 25]",53.90811390453663
1,DIT,6,32.310865758244205,6.804037274036405,39.11490303228061,1_129_1280_720_rank1,"[6, 15, 23, 28, 29, 30]",53.90811390453663
3,DIT,6,30.763036810322294,9.207683220165595,39.97072003048789,1_129_1280_720_rank3,"[1, 8, 9, 16, 17, 24]",53.90811390453663
2,VAE,6,5.268466676819575,0.0,5.268466676819575,1_129_1280_720_rank2,"[2, 10, 18, 19, 26, 27]",53.90811390453663
4,VAE,4,9.207683220165595,0.0,9.207683220165595,1_129_1280_720_rank4,"[4, 11, 13, 31]",53.90811390453663
0,VAE,6,3.682833267670503,5.268466676819575,8.951299944490078,1_85_1280_720_rank0,"[3, 10, 18, 19, 26, 27]",53.90811390453663
2,DIT,8,24.335975664336292,8.951299944490078,33.28727560882637,1_129_1280_720_rank2,"[2, 10, 18, 19, 20, 25, 26, 27]",53.90811390453663
6,DIT,8,24.335975664336292,9.207683220165595,33.54365888450189,1_129_1280_720_rank6,"[5, 7, 12, 13, 14, 21, 22, 31]",53.90811390453663
0,DIT,4,23.410961275924063,9.207683220165595,32.61864449608966,1_85_1280_720_rank0,"[0, 3, 4, 11]",53.90811390453663
5,VAE,4,6.295230607380404,32.61864449608966,38.91387510347006,2_65_1280_720_rank5,"[0, 3, 4, 11]",53.90811390453663
4,DIT,12,20.36445502003474,33.54365888450189,53.90811390453663,1_129_1280_720_rank4,"[2, 5, 10, 12, 13, 18, 19, 20, 21, 25, 26, 27]",53.90811390453663
5,DIT,8,14.64436646529343,39.11490303228061,53.75926949757404,2_65_1280_720_rank5,"[7, 14, 22, 23, 28, 29, 30, 31]",53.90811390453663
7,VAE,6,3.8410645688920013,39.11490303228061,42.95596760117261,1_77_1280_720_rank7,"[0, 3, 4, 6, 11, 15]",53.90811390453663
7,DIT,12,9.695991332762617,42.95596760117261,52.65195893393523,1_77_1280_720_rank7,"[0, 1, 3, 4, 6, 8, 9, 11, 15, 16, 17, 24]",53.90811390453663
