Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
1,VAE,6,3.1481644299451945,0.0,3.1481644299451945,2_53_1280_720_rank2,"[0, 1, 2, 3, 4, 5]",20.373712222200986
1,DIT,6,12.636624673445475,3.1481644299451945,15.784789103390668,2_53_1280_720_rank2,"[0, 1, 2, 3, 4, 5]",20.373712222200986
2,VAE,4,3.9354896361287337,0.0,3.9354896361287337,5_25_1280_720_rank4,"[8, 9, 10, 11]",20.373712222200986
3,VAE,6,3.3024521843039376,0.0,3.3024521843039376,3_37_1280_720_rank6,"[6, 7, 12, 13, 14, 15]",20.373712222200986
3,DIT,8,8.428515982883562,3.9354896361287337,12.364005619012296,3_37_1280_720_rank6,"[8, 9, 10, 11, 12, 13, 14, 15]",20.373712222200986
2,DIT,8,8.00970660318869,12.364005619012296,20.373712222200986,5_25_1280_720_rank4,"[8, 9, 10, 11, 12, 13, 14, 15]",20.373712222200986
0,VAE,1,3.7130251983241966,3.3024521843039376,7.015477382628134,6_9_1280_720_rank0,[6],20.373712222200986
0,DIT,8,3.1366617168042445,15.784789103390668,18.921450820194913,6_9_1280_720_rank0,"[0, 1, 2, 3, 4, 5, 6, 7]",20.373712222200986
