Task_ID,Stage,GPUs_Count,Time,Start,End,DatasetID,GPU_List,Makespan
3,VAE,4,4.344615827773153,0.0,4.344615827773153,4_33_1280_720_rank6,"[8, 9, 10, 11]",20.768777268411405
2,VAE,6,3.1481644299451945,0.0,3.1481644299451945,2_53_1280_720_rank4,"[0, 1, 2, 3, 4, 5]",20.768777268411405
1,VAE,4,3.9354896361287337,0.0,3.9354896361287337,5_25_1280_720_rank2,"[12, 13, 14, 15]",20.768777268411405
2,DIT,8,9.610906235277525,3.1481644299451945,12.759070665222719,2_53_1280_720_rank4,"[0, 1, 2, 3, 4, 5, 6, 7]",20.768777268411405
3,DIT,8,9.496538269730959,4.344615827773153,13.841154097504113,4_33_1280_720_rank6,"[8, 9, 10, 11, 12, 13, 14, 15]",20.768777268411405
1,DIT,8,8.009706603188686,12.759070665222719,20.768777268411405,5_25_1280_720_rank2,"[0, 1, 2, 3, 4, 5, 6, 7]",20.768777268411405
0,VAE,2,1.287294164464159,13.841154097504113,15.128448261968272,6_5_1280_720_rank0,"[8, 9]",20.768777268411405
0,DIT,4,3.725653464303919,15.128448261968272,18.85410172627219,6_5_1280_720_rank0,"[12, 13, 14, 15]",20.768777268411405
